moa [158,162][302,252] clickable=false
일상을 한곳에 [326,187][489,227] clickable=false
일정 새로고침 [814,178][872,236] clickable=false
일정 검색 [930,178][988,236] clickable=false
나의 캘린더 공간 [63,339][624,460] clickable=false
흩어진 일정, 이제 한곳에서. [63,484][511,540] clickable=false
연결된 계정 [63,611][226,660] clickable=false
G [144,758][185,829] clickable=false
Google Calendar [252,746][543,793] clickable=false
moa-b@example.test [252,806][518,840] clickable=false
Google 계정 선택 · 변경 [383,930][698,975] clickable=false
Google 캘린더 동기화 기능이 기기에 없어요. Google Calendar 앱을 설치하고 선택한 계정으로 열어 주세요. [63,1088][1017,1168] clickable=false
선택한 Google 계정에서 다시 가져오기 [95,1209][604,1254] clickable=false
Google 계정 · 기기 동기화 설정 열기 ↗ [74,1338][534,1378] clickable=false
N [143,1504][185,1575] clickable=false
NAVER Calendar [252,1489][544,1536] clickable=false
CalDAV로 개인 일정을 연결하세요 [252,1549][652,1589] clickable=false
계정 연결 [478,1676][602,1721] clickable=false
네이버의 Android CalDAV는 공식 지원 대상이 아니며, 실제 연결 확인이 필요해요. [63,1832][1015,1872] clickable=false
표시할 캘린더 [63,1951][257,2000] clickable=false
Google · moa-b@example.test [63,2069][439,2103] clickable=false
캘린더 [134,2264][206,2301] clickable=false
일정 [392,2264][440,2301] clickable=false
위젯 [639,2264][687,2301] clickable=false
설정 [886,2264][934,2301] clickable=false
