저장할 캘린더 [89,627][865,718] clickable=false
선택 창 닫기 [900,644][958,702] clickable=false
일정을 등록할 원본 캘린더를 골라 주세요. [89,740][779,798] clickable=false
Google [89,856][217,904] clickable=false
G [145,991][181,1053] clickable=false
개인 캘린더 [231,962][447,1027] clickable=false
Google · personal.calendar@example.test [231,1038][890,1082] clickable=false
기기 캘린더 [89,1151][284,1209] clickable=false
My Calendar [231,1267][482,1320] clickable=false
기기 캘린더 [231,1331][410,1385] clickable=false
My Calendar [231,1470][482,1523] clickable=false
기기 캘린더 · second-local-user [231,1534][728,1588] clickable=false
가족 일정 [231,1673][406,1738] clickable=false
기기 캘린더 · local-user [231,1749][598,1803] clickable=false
