moa [158,162][300,253] clickable=false
일상을 한곳에 [324,180][537,234] clickable=false
일정 새로고침 [814,178][872,236] clickable=false
일정 검색 [930,178][988,236] clickable=false
나의 캘린더 공간 [63,339][618,460] clickable=false
흩어진 일정, 이제 한곳에서. [63,484][647,558] clickable=false
연결된 계정 [63,629][279,694] clickable=false
G [141,792][187,871] clickable=false
Google Calendar [252,773][635,832] clickable=false
personal.calendar@example.test [252,845][793,889] clickable=false
Google 계정 선택 · 변경 [339,966][741,1024] clickable=false
Google 캘린더 동기화 기능이 기기에 없어요. Google Calendar 앱을 설치하고 선택한 계정으로 열어 주세요. [63,1130][1017,1238] clickable=false
선택한 Google 계정에서 다시 가져오기 [95,1273][744,1331] clickable=false
Google 계정 · 기기 동기화 설정 열기 ↗ [74,1401][677,1455] clickable=false
N [141,1579][188,1658] clickable=false
NAVER Calendar [252,1555][635,1614] clickable=false
CalDAV로 개인 일정을 연결하세요 [252,1627][777,1681] clickable=false
계정 연결 [461,1758][619,1816] clickable=false
Google Calendar 앱을 설치하고 선택한 계정으로 한 번 열어 주세요. [74,1956][1006,2086] clickable=false
캘린더 [124,2258][217,2307] clickable=false
일정 [385,2258][447,2307] clickable=false
위젯 [632,2258][694,2307] clickable=false
설정 [879,2258][941,2307] clickable=false
