moa [158,162][302,252] clickable=false
일상을 한곳에 [326,187][489,227] clickable=false
일정 새로고침 [814,178][872,236] clickable=false
일정 검색 [930,178][988,236] clickable=false
일정 [105,325][167,374] clickable=false
할 일 [272,325][342,374] clickable=false
다가오는 일정 [63,475][532,596] clickable=false
9월 10일부터, 차근차근. [63,617][459,673] clickable=false
9월 10일 목요일 [63,786][294,835] clickable=false
종일 [90,956][148,1001] clickable=false
20260910 [266,911][434,954] clickable=false
 서울 [295,970][349,1007] clickable=false
Google · moa-edit-fixture@example.test [266,1015][725,1045] clickable=false
일정 수정: 20260910 [838,926][990,1031] clickable=false
수정 [885,956][943,1001] clickable=false
종일 [90,1198][148,1243] clickable=false
반복 일정 확인 [266,1149][482,1201] clickable=false
반복 일정 [266,1217][368,1254] clickable=false
Google · moa-edit-fixture@example.test [266,1262][725,1292] clickable=false
일정 보기: 반복 일정 확인 [838,1169][990,1274] clickable=false
보기 [885,1199][943,1244] clickable=false
9월 11일 금요일 [63,1394][294,1443] clickable=false
종일 [90,1568][148,1613] clickable=false
반복 일정 확인 [266,1519][482,1571] clickable=false
반복 일정 [266,1587][368,1624] clickable=false
Google · moa-edit-fixture@example.test [266,1632][725,1662] clickable=false
일정 보기: 반복 일정 확인 [838,1539][990,1644] clickable=false
보기 [885,1569][943,1614] clickable=false
캘린더 [134,2264][206,2301] clickable=false
일정 [392,2264][440,2301] clickable=false
위젯 [639,2264][687,2301] clickable=false
설정 [886,2264][934,2301] clickable=false
일정 추가 [732,1951][1038,2098] clickable=false
