드래그 핸들 [498,186][582,197] clickable=false
일정 수정 [63,275][891,362] clickable=false
닫기 [926,290][984,348] clickable=false
내용을 바꾸고 변경사항을 저장해 주세요 [63,381][588,426] clickable=false
여행 일정 [63,458][1017,626] clickable=true
일정 제목 [105,456][235,502] clickable=false
원본 캘린더 [63,658][1017,829] clickable=false
G [128,720][157,769] clickable=false
나의 캘린더 [216,695][390,747] clickable=false
Google · moa-edit-fixture@example.test [216,758][709,792] clickable=false
하루 종일 [63,882][880,938] clickable=false
하루 종일 [880,868][1017,952] clickable=false
시작 [63,1041][168,1090] clickable=false
2026. 9. 10 [200,1046][369,1086] clickable=false
종료 [63,1189][168,1238] clickable=false
2026. 9. 11 [200,1194][369,1234] clickable=false
변경사항 저장 [443,1382][637,1431] clickable=false
