시트 닫기 [0,0][1080,381] clickable=true
드래그 핸들 [498,439][582,450] clickable=false
일정 수정 [63,528][891,615] clickable=false
닫기 [926,543][984,601] clickable=false
내용을 바꾸고 변경사항을 저장해 주세요 [63,634][588,679] clickable=false
여행 일정 [63,711][1017,879] clickable=true
일정 제목 [105,709][235,755] clickable=false
원본 캘린더 [63,911][1017,1082] clickable=false
G [128,973][157,1022] clickable=false
나의 캘린더 [216,948][390,1000] clickable=false
Google · moa-edit-fixture@example.test [216,1011][709,1045] clickable=false
하루 종일 [63,1135][880,1191] clickable=false
하루 종일 [880,1121][1017,1205] clickable=false
시작 [63,1294][168,1343] clickable=false
2026. 9. 10 [200,1299][369,1339] clickable=false
종료 [63,1442][168,1491] clickable=false
2026. 9. 11 [200,1447][369,1487] clickable=false
서울 [63,1566][1017,1734] clickable=true
장소 [105,1564][166,1610] clickable=false
여행 준비와 출발 [63,1766][1017,1965] clickable=true
메모 [105,1764][166,1810] clickable=false
일정 삭제 [474,2004][606,2053] clickable=false
변경사항 저장 [443,2202][637,2251] clickable=false
